year,area,threshold,model
2095,178845681249836.34,n15,ukesm
2096,208764477493038.75,n15,ukesm
2097,188794818221880.5,n15,ukesm
2098,201648910151985.3,n15,ukesm
2099,187463466269508.25,n15,ukesm
2100,194705272532076.84,n15,ukesm
2031,22323884388405.938,n15,ipsl
2032,67441503079816.516,n15,ipsl
2033,15522712506611.186,n15,ipsl
2034,23066001753590.46,n15,ipsl
2035,54096154768071.336,n15,ipsl
2036,25720522667263.68,n15,ipsl
2037,10793183866309.016,n15,ipsl
2038,83572688401654.02,n15,ipsl
2039,71789715144542.88,n15,ipsl
2040,29072672988745.977,n15,ipsl
2041,64406868404765.266,n15,ipsl
2042,38896485860439.484,n15,ipsl
2043,89695983949715.38,n15,ipsl
2044,90031528821157.3,n15,ipsl
2045,35712681188516.31,n15,ipsl
2046,48874704519122.83,n15,ipsl
2047,45944393335531.7,n15,ipsl
2048,64565537450485.69,n15,ipsl
2049,84628811353702.86,n15,ipsl
2050,48275809674595.53,n15,ipsl
2051,45332466683036.5,n15,ipsl
2052,22803965535012.94,n15,ipsl
2053,59294161239733.59,n15,ipsl
2054,72344000539089.94,n15,ipsl
2055,78205631157923.55,n15,ipsl
2056,86274484795548.62,n15,ipsl
2057,97857976845613.6,n15,ipsl
2058,86445103145497.77,n15,ipsl
2059,38705941907514.53,n15,ipsl
2060,56312169757779.69,n15,ipsl
2061,58884061485331.59,n15,ipsl
2062,75271298734234.88,n15,ipsl
2063,30084033608613.96,n15,ipsl
2064,78721347636672.06,n15,ipsl
2065,59287954642390.2,n15,ipsl
2066,136757163669876.12,n15,ipsl
2067,82350243705259.92,n15,ipsl
2068,116324795323112.19,n15,ipsl
2069,99421589010307.81,n15,ipsl
2070,80275603998572.39,n15,ipsl
2071,56463150713072.31,n15,ipsl
2072,68995603834465.63,n15,ipsl
2073,88810911755069.81,n15,ipsl
2074,108383758970920.75,n15,ipsl
2075,62612145281339.484,n15,ipsl
2076,66279632230722.57,n15,ipsl
2077,124089796209804.53,n15,ipsl
2078,160613949557178.25,n15,ipsl
2079,125025964591063.81,n15,ipsl
2080,167793315192514.7,n15,ipsl
2081,120367001613671.53,n15,ipsl
2082,117657955188531.64,n15,ipsl
2083,77797584905365.47,n15,ipsl
2084,162136400871181.62,n15,ipsl
2085,70203885829630.87,n15,ipsl
2086,167515164219623.06,n15,ipsl
2087,145713234800207.88,n15,ipsl
2088,76968562155395.27,n15,ipsl
2089,143465850497204.2,n15,ipsl
2090,191514085856272.66,n15,ipsl
2091,155475244704312.75,n15,ipsl
2092,147250768289243.22,n15,ipsl
2093,175527855061772.6,n15,ipsl
2094,138707915766280.92,n15,ipsl
2095,150473300575472.8,n15,ipsl
2096,151177111913625.6,n15,ipsl
2097,126554368210333.22,n15,ipsl
2098,186542794098519.22,n15,ipsl
2099,202590019627865.8,n15,ipsl
2100,204861049674185.8,n15,ipsl
2031,5450880568560.59,n21,gfdl
2032,6991808305799.268,n21,gfdl
2033,7270704716558.516,n21,gfdl
2034,7068818470550.981,n21,gfdl
2035,6770044290965.765,n21,gfdl
2036,11463986347512.707,n21,gfdl
2037,2525271792178.0996,n21,gfdl
2038,13974469341834.508,n21,gfdl
2039,12826380658935.314,n21,gfdl
2040,5936467730143.002,n21,gfdl
2041,5328915213084.755,n21,gfdl
2042,5036019527889.853,n21,gfdl
2043,10984458118415.785,n21,gfdl
2044,37160561329186.914,n21,gfdl
2045,16062510120457.463,n21,gfdl
2046,3795392960784.5938,n21,gfdl
2047,22175279507102.37,n21,gfdl
2048,48266154484588.08,n21,gfdl
2049,16500124045318.908,n21,gfdl
2050,9713603221419.676,n21,gfdl
2051,24883157824321.39,n21,gfdl
2052,16323104835217.09,n21,gfdl
2053,22731287778232.336,n21,gfdl
2054,6327045660661.428,n21,gfdl
2055,19275353599623.734,n21,gfdl
2056,4995389567893.173,n21,gfdl
2057,11093999949301.34,n21,gfdl
2058,11793768200463.621,n21,gfdl
2059,18127032080240.742,n21,gfdl
2060,44903096471615.65,n21,gfdl
2061,9960255739645.664,n21,gfdl
2062,6723718671898.598,n21,gfdl
2063,20608369472161.605,n21,gfdl
2064,9299559949384.934,n21,gfdl
2065,14510318906339.596,n21,gfdl
2066,14494701040487.904,n21,gfdl
2067,11926547952791.107,n21,gfdl
2068,16477566564851.959,n21,gfdl
2069,15537466478422.025,n21,gfdl
2070,31378345942154.004,n21,gfdl
2071,9955439222866.707,n21,gfdl
2072,11396529452409.992,n21,gfdl
2073,23132411608657.58,n21,gfdl
2074,15190060482494.055,n21,gfdl
2075,8058459816452.106,n21,gfdl
2076,8028499911346.488,n21,gfdl
2077,4584071622059.514,n21,gfdl
2078,21815368334289.23,n21,gfdl
2079,15203261615045.176,n21,gfdl
2080,18801706234288.97,n21,gfdl
2081,10124948151291.812,n21,gfdl
2082,40264984145864.07,n21,gfdl
2083,15672158611597.129,n21,gfdl
2084,44781204078362.016,n21,gfdl
2085,73409843496283.81,n21,gfdl
2086,36656130628518.94,n21,gfdl
2087,39792378749142.97,n21,gfdl
2088,8692964388671.047,n21,gfdl
2089,69700335453168.33,n21,gfdl
2090,21980170274967.746,n21,gfdl
2091,15997074498781.32,n21,gfdl
2092,40979378167030.51,n21,gfdl
2093,32629433212481.918,n21,gfdl
2094,38646448002801.44,n21,gfdl
2095,58256010437826.125,n21,gfdl
2096,16582142594891.635,n21,gfdl
2097,60893580323776.09,n21,gfdl
2098,37024116127466.93,n21,gfdl
2099,71525886534985.12,n21,gfdl
2100,38842522389787.79,n21,gfdl
